citing_paper_extend,"""we also improve the upper bound for the general outerplanar graph from the < formula > stated in < citation >"""
citing_paper_use,"""we employ algorithm based on the 0-efficiency technique of jaco and rubinstein < citation >"""
citing_paper_use,"""to constrain the state of the system to the designed manifold in a finite time we propose robust controller of sliding mode sm type < citation >"""
judgement,"""cob < citation > is another object-oriented language but it framework is not purely based on this paradigm"""
definition,"""a notable exception is the class of all ergodic mdps with an unbounded effective horizon here the bayes-optimal policy is strongly asymptotically optimal < citation > < formula > a < formula > for all history < formula >"""
citing_paper_based_on,"""first we state a result , inspired by < citation > , that we use in subsequent proof"""
cited_paper_success,"""simonyan < formula > zisserman < citation > reported a significant performance improvement on imagenet challenge 2014 by using a multi-scale deep convolutional neural network"""
contrast,"""we refer to the fragment consisting of the first and third set of rule a core aprhl it rule are displayed in fig note that the , in contrast with < citation > , the rule for sequential composition doe not have any side condition this is due to the fact that the rule for random assignment in < citation > allows sampling from strict sub-distributions , whereas we only allow sampling using the laplace and exponential mechanism"""
citing_paper_extend,"""more specifically , we used sgd to jointly modify the network template and svm coefficient produced by < citation > , in an attempt to reach higher accuracy level than those reported by the author"""
judgement,"""although this family of model have advanced our understanding they do not optimally capture neural response especially to natural scene which can lead to more complex response than white noise stimulus < citation >"""
citing_paper_dominant,"""here we compare our method with the two most recent 2-hop labeling method which outperform previous method based on hop-labeling and transitive closure compression tf < citation > us topological foldingto contract the graph in such a way that the maximal path length is halved in each contraction"""
citing_paper_based_on,"""to utilize entity image information , we propose two kind of representation for each entity inspired by < citation >"""
contrast,"""nonetheless , we notice that , unlike < citation > , we want the parametrization of < formula > to be fixed"""
citing_paper_dominant,"""we use various discriminative model including residual network < citation > in combination with our model and show our approach is capable of outperforming our baseline"""
compare,"""the two-user compound mac with conference encoders < citation > or decoder < citation > is also partially related to our work in the sense that dependence between the transmitted signal or received signal can be created through conferencing encoders or decoder"""
citing_paper_extend,"""we modify the experiment of < citation > slightly , and assume that the user only provides sequence of up to three word which are missing from the hypothesis.to simulate user interaction , at each iteration we chose a phrase of up to three token from the reference translation which doe not appear in the current mt hypothesis"""
cited_paper_result,"""murayama et al < citation > and tanaka and saad < citation > reported the empirical evidence of the conjecture for bsc binary symmetric channel and awgn additive white gaussian noise channel , respectively by a non-rigorous but powerful statistical mechanic approach known a replica method"""
compare,"""the area of verifiable computation e.g < citation > is a new subject in cryptography , and is certainly related to our work"""
judgement,"""the relevance of the fda transform is verified in experiment of classification of two well known datasets that is brodatz < citation >"""
cited_paper_result,"""reference < citation > show that it suffices for a node to keep only the coset space of the intersection of the data received at the node and of all the space representing the data received by it neighbor"""
citing_paper_based_on,"""despite their inefficiency , we are inspired by < citation > and < citation > to achieve scalability by performing local communication and computation in logarithmic-size group of party called quorum , where the number of dishonest party in each quorum is guaranteed not to exceed a certain fraction"""
suggest,"""we refer the reader to the book < citation > for detail"""
citing_paper_future,"""a future work we plan to use one hand detector , for instance in < citation > , to estimate the input to the hand pose estimator"""
judgement,"""for satisfiability a opposed to finitesatisfiability , this big-cycles lemma is relatively straightforward , and close to the familiar fact that < formula > ha the tree-model property see kazakov < citation > , theorem 1"""
citing_paper_based_on,"""following < citation > , we distinguish between a top-down bibliometric approach , where large-scale trend at the highest level of publication aggregation are considered such a the research output of a country or university , and prefer a bottom-up approach , where we analyze individual document and the paper they cite"""
trend,"""in the context of chr , ranking function have been used to prove termination and complexity bound for bounded goal < citation >"""
cited_paper_result,"""in < citation > an algorithm is presented that can find rule called \structures\ by the author"""
cited_paper_result,"""alon < citation > proved that this is tight up to a < formula > factor if < formula > is an orthonormal basis , then any < formula > -embedding of < formula > into < formula > requires < formula >"""
citing_paper_extend,"""in this paper , we modify slightly the approach in < citation > to derive a sphere packing bound for classical-quantum channel with constant composition code"""
cited_paper_success,"""dean and kurokawa in < citation > is true in the standard model of arithmetic"""
suggest,"""for the detail of the construction we refer the reader to < citation >"""
compare,"""finally , most closely related to our work are side-channel attack that use accelerometer data from smartphones < citation >"""
contrast,"""unlike < citation > we leverage easily obtainable and widely used embeddings of word type"""
trend,"""multidimensional scaling md < citation > is a widely used method for embedding a general distance matrix into a low dimensional euclidean space used both a a preprocessing step for many problem a well a a visualization tool in it own right"""
suggest,"""the interested reader is referred to < citation > for the latest achievement in this field of research"""
citing_paper_dominant,"""moreover , from table and figure , we can also observe that both < citation > and our method obviously outperform the voc'07 winner due to the effective use of extra tag for image classification"""
cited_paper_success,"""the most popular solver in practice are based on some form of runge-kutta rk method a first introduced in < citation > and < citation > which employ a weighted sum of a fixed amount of gradient in order to iteratively extrapolate a discretized solution"""
citing_paper_use,"""in this work , we adopt the au detection cnn architecture proposed by jaiswal and valstar < citation >"""
cited_paper_propose,"""in < citation > , the author establish the np-hardness of the single-carrier scheduling problem in the context of proportionally fair pf scheduling"""
trend,"""while many of these result were originally obtained using non-rigorous methodology namely the cavity and the replica method in recent year a large part of these result and the associated picture wa established rigorously see e.g < citation > , leading to a new methodology in probability theory able to deal with probability distribution associated to randomly generated constraint on a large set of boolean variable"""
trend,"""several method have been proposed to optimize such a kernel combination within the framework of support-vector machine based , for instance , on semi-definite programming < citation >"""
compare,"""the approach of < citation > is perhaps most closely related to our work"""
cited_paper_propose,"""recently , williams < citation > present an < formula > matrix multiplication and inversion method"""
cited_paper_propose,"""yt tesfaye et al < citation > formulated the tracking problem a finding constrained dominant set from a graph"""
suggest,"""for more detail on this topic , we refer the reader to < citation >"""
citing_paper_extend,"""in this paper we extend the algorithm presented in < citation > to build an adaptive margin-based active learning for multi-dimensional data"""
citing_paper_corroboration,"""from theorem 3.1 and 3.2 of < citation > , the maximum rate of one-directional forwarding and network coding are to minimize the time span , we formulate the minimum time span into the following linear programming problem where < formula > denotes the transmission time of source node < formula > to source node < formula > by one-directional forwarding , and < formula > corresponds to that of source node < formula >"""
judgement,"""distillation can potentially increase accuracy on the test set a well a the rate at which the smaller model learns to predict the hard label < citation >"""
cited_paper_result,"""the fact that this property hold for sturmian word ha recently been shown in < citation >"""
citing_paper_corroboration,"""in section we define the parameter value-width and attack-width and establish the result involving system of value-width 2 , we also discus the relationship between system of value-width 2 and dialogue < citation >"""
citing_paper_extend,"""in this section we modify the algorithm by beller et al cf < citation > to produce the succinct 2n bit plcp bit vector in em"""
cited_paper_dominant,"""from the average mcta score we can see that usc-vision < citation > is much better than our proposed method"""
citing_paper_based_on,"""our approach build on ohori 's simple semantics for ml polymorphism < citation >"""
citing_paper_based_on,"""first we give the definition of the pseudometric < formula > , which is inspired by < citation >"""
suggest,"""so we can skip the detail here , and refer the reader to < citation >"""
compare,"""our model is similar with the < formula > -information privacy < citation >"""
citing_paper_extend,"""such component is based on our previous work on general resource usage verification presented in < citation > , where we extended the criterion of correctness a the conformance of a program to a specification expressing non-functional global property such a upper and lower bound on execution time memory energy or user defined resource given a function on input data size"""
suggest,"""the material presented here may be found with more detail in < citation > and < citation >"""
technical,"""each mmse computation can be done using the gabp algorithm < citation >"""
suggest,"""further property and various application of these two notion can be found in < citation >"""
technical,"""when all rotated image are included for pca then the eigenimages have a special separation of variable form in polar coordinate in term of radial function and angular fourier mode < citation >"""
contrast,"""note that unlike < citation > we also add a linear layer which take a input both the current network 's output and the previous prediction , producing the actual correction"""
trend,"""the three-weight algorithm < gc and.bento.derbinsky.elser.yedidia > is based on a message-passing interpretation of the alternating direction method of multiplier , or admm , an algorithm that ha gained much attention of late within the convex-optimization community a it is well-suited for distributed implementation < citation >"""
technical,"""for 2d image , style transfer is achieved by minimizing content lossand style losssimultaneously < citation >"""
citing_paper_use,"""if the arrival and service process are strictly stationary then we can apply loynes theorem to check for stability condition < citation >"""
citing_paper_dominant,"""moreover , our method outperforms the unsupervised method < citation > by a large margin with more than < formula > of the mean overlap ratio"""
cited_paper_success,"""while < citation > effectively answered the question on how low the communication cost of a cpir scheme can be , it highlighted another cost parameter that should not be neglected in the era of big data , namely the storage overhead"""
contrast,"""in this work , unlike < citation > , we are particularly interested in the examination of the graphical structure of the problematic set which dominate the error floor performance"""
trend,"""recently localization system have found widespread application since they allow to develop a number of new service in both outdoor and indoor environment < citation >"""
citing_paper_dominant,"""experiment on two benchmark data set the stanford sentiment treebank < citation > , show that 1 our method achieves very competitive accuracy 2 some view distinguish themselves from others by better categorizing specific class and 3 when our base bag-of-words feature set is augmented with convolutional feature the method establishes a new state-of-the-art for both data set"""
citing_paper_dominant,"""further , we show that by using motion feature alone our method outperforms < citation > see fig a and b , which further strengthens our claim that information coded in motion feature is valuable and should be used when available"""
citing_paper_dominant,"""to demonstrate the effectiveness of our model , we evaluate them on synthetic data and show that they outperform related model such a cclda and differential topic model < citation >"""
cited_paper_success,"""though , mrn < citation > effectively us shortcut connection to improve model performance , one-block layered marn show better performance without the shortcut connection"""
cited_paper_weakness,"""however , the method of < citation > can not be scaled to large datasets a it is based on the k-means method"""
definition,"""stereo-spaam < citation > is a variant of spaam that simultaneously calibrates both eye with a stereoscopic ost-hmd"""
citing_paper_based_on,"""to achieve the optimal cost , and inspired by < citation > , we propose the controller given by where < formula > is the laplacian matrix of an undirected connected communication graph"""
cited_paper_weakness,"""the limitation of < citation > lie in three aspect 1 if we further accommodate the uncertain dynamic based on < citation > , the overparametrization and even nonlinear parametrization due to the presence of the uncertain depth in the denominator of an unknown term to be compensated for problem will occur refer to < citation > , and additionally the separation of the kinematic and dynamic uncertainty is impossible 2 the determination of the controller parameter relies on some priori knowledge of the system model 3 it requires high control activity to accommodate the variation of the depth , due to the velocity-dependent feedback gain which mean that the undesirable high-gain feedback is demanded in the case that the manipulator motion at a high velocity"""
citing_paper_dominant,"""a figure show our model consistently outperform two recent approach < citation > using pure dcnn on two datasets"""
